"SearchTerm", "EndDateTime", "Positive", "Negative", "Neutral", "Confused"
"Trump", "28-05-2016 00:00", 101201, 124845, 343689, 0
"Trump", "29-05-2016 00:00", 113340, 136688, 385403, 0
"Trump", "30-05-2016 00:00", 104475, 125239, 387828, 0
"Trump", "31-05-2016 00:00", 100083, 115670, 338967, 0
"Trump", "01-06-2016 00:00", 166539, 208409, 584058, 0
"Trump", "02-06-2016 00:00", 169233, 217233, 583357, 0
"Trump", "03-06-2016 00:00", 195010, 298512, 691062, 0
